Anime,Release_date,Length,Genre,Rating
Dejimon adobenchâ 02,(2000-2001),30,"Animation, Action, Adventure",7.4
Mao Gakuin no Futekigosha,(2020-2023),23,"Animation, Adventure, Comedy",7.3
DARLING in the FRANXX,-2018,24,"Animation, Action, Drama",7.3
Animatrix,-2003,100,"Animation, Action, Sci-Fi",7.3
Trigun Stampede,(2023- ),24,"Animation, Action, Adventure",7.3
NieR: Automata Ver 1.1a,(2023- ),23,"Animation, Action, Adventure",7.3
Sekirei,(2008-2010),23,"Animation, Action, Comedy",7.3
Otomege Sekai wa Mob ni Kibishii Sekai Desu,(2022- ),23,"Animation, Comedy, Fantasy",7.3
Senpai ga Uzai Kouhai no Hanashi,-2021,NA,"Animation, Comedy, Romance",7.3
Kami nomi zo Shiru Sekai,(2010-2013),24,"Animation, Comedy, Romance",7.3
Itazura na Kiss,-2008,24,"Animation, Comedy, Drama",7.3
Mieruko-chan,-2021,24,"Animation, Comedy, Fantasy",7.2
"Don't Toy with Me, Miss Nagatoro",(2021-2023),24,"Animation, Comedy, Romance",7.2
Sora no otoshimono,(2009-2010),NA,"Animation, Action, Comedy",7.2
Kekkai Sensen,(2015-2017),24,"Animation, Action, Adventure",7.2
Nisekoi,(2014-2016),25,"Animation, Comedy, Romance",7.2
Deadman Wonderland,-2011,24,"Animation, Action, Drama",7.1
Kakegurui,(2017-2019),24,"Animation, Drama, Mystery",7.1
Hanyô no Yashahime,(2020- ),NA,"Animation, Action, Adventure",7.1
Btooom!,-2012,25,"Animation, Action, Drama",7.1
Zombieland Saga,(2018- ),24,"Animation, Comedy, Fantasy",7.1
Air Gear,(2006-2008),25,"Animation, Action, Comedy",7.1
"Kanojo, Okarishimasu",(2020-2023),23,"Animation, Comedy, Romance",7
Isekai Mao to Shokan Shojo no Dorei Majutsu,(2018-2021),24,"Animation, Adventure, Comedy",7
Boku wa tomodachi ga sukunai,(2011-2013),25,"Animation, Comedy, Drama",7
Saenai hiroin no sodatekata,(2015-2017),24,"Animation, Comedy, Drama",7
Giruti kuraun: Guilty Crown,(2011-2012),23,"Animation, Action, Crime",7
Ore wo Suki nano wa Omae dake ka yo,(2019-2020),24,"Animation, Comedy, Drama",7
Thermae Romae Novae,-2022,30,"Animation, Comedy, Fantasy",7
Majo no Tabitabi,(2020- ),24,"Animation, Adventure, Fantasy",7
Jaku-chara Tomozaki-kun,(2021- ),24,"Animation, Comedy, Drama",7
Shakugan no Shana,(2005-2010),NA,"Animation, Action, Adventure",7
Amagi Brilliant Park,(2014-2015),24,"Animation, Comedy, Fantasy",7
Black Cat,(2005-2006),25,"Animation, Action, Crime",7
Date a Live,(2013- ),25,"Animation, Action, Comedy",6.9
Rozario to banpaia,-2008,25,"Animation, Comedy, Fantasy",6.9
Kore wa Zombie desu ka?,(2011-2012),25,"Animation, Action, Comedy",6.9
Ultraman,(2019-2023),25,"Animation, Action, Adventure",6.8
Danganronpa: Kibô no gakuen to zetsubô no kôkôsei - The animation,-2013,25,"Animation, Action, Crime",6.8
Spriggan,-2022,45,"Animation, Action, Adventure",6.8
Kenja no Mago,-2019,24,"Animation, Action, Adventure",6.8
To aru majutsu no indekkusu,(2008-2019),23,"Animation, Action, Comedy",6.8
Saihate no Paladin,(2021- ),NA,"Animation, Adventure, Drama",6.7
Trinity Seven: 7-nin no Masho Tsukai,(2014-2015),NA,"Animation, Action, Comedy",6.7
Kakkou no Iinazuke,-2022,23,"Animation, Comedy, Romance",6.7
Dejimon furontiâ,(2002-2003),NA,"Animation, Action, Adventure",6.7
Medabots,(1999-2004),30,"Animation, Action, Adventure",6.7
Monster Musume no Iru Nichijou,(2015-2017),23,"Animation, Comedy, Fantasy",6.6
Kinsô no Vermeil ~Gakeppuchi majutsushi wa saikyô no yakusai to mahô sekai wo tsukisusumu~,-2022,24,"Animation, Comedy, Fantasy",6.6
Kawaii dake ja nai Shikimori-san,-2022,23,"Animation, Comedy, Drama",6.6
Eden,(I) (2021- ),25,"Animation, Action, Adventure",6.6
Mega Man,(1994-1995),22,"Animation, Action, Adventure",6.6
